e-SUS - Atenção Básica
MINISTÉRIO DA SAÚDE
ESTADO DE DISTRITO FEDERAL
MUNICÍPIO DE BRASÍLIA
UNIDADE DE SAÚDE UBS 4 SETOR DE MANSOES SOBRADINHO II

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/01/2020 a 31/01/2020
Equipe;0000471631 - ESF 0615/05 - MINI-CHACARAS
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/07/2020; às ;00:00;
Impresso em ;13/07/2020; às ;07:22; por ;KATIA SORAIA DO ESPIRITO SANTO


Resumo de produção
Descrição;Quantidade;
Registros identificados;158;
Registros não identificados;2;

Dados gerais
Descrição;Quantidade;
Gestante;8;
Paciente com necessidades especiais;5;

Turno
Descrição;Quantidade;
Manhã;102;
Tarde;57;
Noite;0;
Não informado;1;

Faixa etária
Descrição;Masculino;Feminino;Não informado;
Menos de 01 ano;0;0;0;
01 ano;0;1;0;
02 anos;3;1;0;
03 anos;2;0;0;
04 anos;4;1;0;
05 a 09 anos;5;5;0;
10 a 14 anos;7;5;0;
15 a 19 anos;5;13;0;
20 a 24 anos;12;15;0;
25 a 29 anos;0;11;0;
30 a 34 anos;2;11;0;
35 a 39 anos;1;12;0;
40 a 44 anos;3;6;0;
45 a 49 anos;3;5;0;
50 a 54 anos;2;6;0;
55 a 59 anos;2;4;0;
60 a 64 anos;6;2;0;
65 a 69 anos;0;1;0;
70 a 74 anos;0;4;0;
75 a 79 anos;0;0;0;
80 anos ou mais;0;0;0;
Não informado;0;0;0;

Sexo
Descrição;Quantidade;
Masculino;57;
Feminino;103;
Não informado;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;160;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Consulta agendada;76;
Escuta inicial / Orientação;1;
Consulta no dia;24;
Atendimento de urgência;59;
Não informado;0;

Tipo de consulta
Descrição;Quantidade;
Primeira consulta odontológica programática;66;
Consulta de retorno em odontologia;21;
Consulta de manutenção em odontologia;0;
Não informado;73;

Vigilância em saúde bucal
Descrição;Quantidade;
Abscesso dentoalveolar;8;
Alteração em tecidos moles;5;
Dor de dente;25;
Fendas ou fissuras labiopalatais;0;
Fluorose dentária moderada ou severa;0;
Traumatismo dentoalveolar;0;
Não identificado;125;
Não informado;1;

Procedimentos
Descrição;Quantidade;
Acesso à polpa dentária e medicação (por dente);10;
Adaptação de prótese dentária;0;
Aplicação de cariostático (por dente);0;
Aplicação de selante (por dente);0;
Aplicação tópica de flúor (individual por sessão);3;
Capeamento pulpar;17;
Cimentação de prótese dentária;1;
Curativo de demora com ou sem preparo biomecânico;15;
Drenagem de abscesso;1;
Evidenciação de placa bacteriana;0;
Exodontia de dente decíduo;5;
Exodontia de dente permanente;6;
Instalação de prótese dentária;0;
Moldagem dentogengival para construção de prótese dentária;0;
Orientação de higiene bucal;1;
Profilaxia / Remoção da placa bacteriana;35;
Pulpotomia dentária;0;
Radiografia periapical / interproximal;0;
Raspagem alisamento e polimento supragengivais (por sextante);76;
Raspagem alisamento subgengivais (por sextante);0;
Restauração de dente decíduo;10;
Restauração de dente permanente anterior;16;
Restauração de dente permanente posterior;36;
Retirada de pontos de cirurgias básicas (por paciente);3;
Selamento provisório de cavidade dentária;18;
Tratamento de alveolite;0;
Ulotomia / Ulectomia;0;

Outros procedimentos (SIGTAP)
Descrição;Quantidade;
0301010030 - CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO);34;
0301010153 - PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA;66;
0301060037 - ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA;59;
0307040151 - AJUSTE OCLUSAL;19;

Fornecimento
Descrição;Quantidade;
Escova dental;65;
Creme dental;65;
Fio dental;65;
Não informado;95;

Conduta / Desfecho
Descrição;Quantidade;
Retorno para consulta agendada;55;
Agendamento para outros profissionais AB;2;
Agendamento para NASF;0;
Agendamento para grupos;0;
Alta do episódio;61;
Tratamento concluído;50;

Encaminhamento
Descrição;Quantidade;
Atendimento a pacientes com necessidades especiais;0;
Cirurgia BMF;6;
Endodontia;9;
Estomatologia;0;
Implantodontia;0;
Odontopediatria;0;
Ortodontia / Ortopedia;0;
Periodontia;0;
Prótese dentária;0;
Radiologia;24;
Outros;3;
Não informado;121;

Problemas / Condições avaliadas - CIAP2
Descrição;Quantidade;
A97 - SEM DOENÇA;6;
D19 - SINAIS/SINTOMAS DOS DENTES/GENGIVAS;16;
D82 - DOENÇA DOS DENTES/GENGIVAS;138;
R21 - SINAIS/SINTOMAS DA GARGANTA;1;
U71 - CISTITE/OUTRA INFECÇÃO URINÁRIA;1;

Problemas / Condições avaliadas - CID10
Descrição;Quantidade;
F840 - AUTISMO INFANTIL;1;
G501 - DOR FACIAL ATÍPICA;1;
J03 - AMIGDALITE AGUDA;1;
K00 - DISTÚRBIOS DO DESENVOLVIMENTO E DA ERUPÇÃO DOS DENTES;1;
K004 - DISTÚRBIOS NA FORMAÇÃO DOS DENTES;1;
K006 - DISTÚRBIOS DA ERUPÇÃO DENTÁRIA;4;
K01 - DENTES INCLUSOS E IMPACTADOS;3;
K010 - DENTES INCLUSOS;1;
K02 - CÁRIE DENTÁRIA;51;
K031 - ABRASÃO DENTÁRIA;2;
K037 - ALTERAÇÕES PÓS-ERUPTIVAS DA COR DOS TECIDOS DUROS DOS DENTES;1;
K040 - PULPITE;13;
K041 - NECROSE DA POLPA;1;
K044 - PERIODONTITE APICAL AGUDA DE ORIGEM PULPAR;1;
K045 - PERIODONTITE APICAL CRÔNICA;1;
K046 - ABSCESSO PERIAPICAL COM FÍSTULA;3;
K047 - ABSCESSO PERIAPICAL SEM FÍSTULA;11;
K05 - GENGIVITE E DOENÇAS PERIODONTAIS;6;
K056 - DOENÇA PERIODONTAL, SEM OUTRA ESPECIFICAÇÃO;18;
K076 - TRANSTORNOS DA ARTICULAÇÃO TEMPOROMANDIBULAR;5;
K081 - PERDA DE DENTES DEVIDA A ACIDENTE, EXTRAÇÃO OU A DOENÇAS PERIODONTAIS LOCALIZADAS;1;
K083 - RAIZ DENTÁRIA RETIDA;3;
K088 - OUTROS TRANSTORNOS ESPECIFICADOS DOS DENTES E DAS ESTRUTURAS DE SUSTENTAÇÃO;1;
K136 - HIPERPLASIA IRRITATIVA DA MUCOSA ORAL;2;
K149 - DOENÇA DA LÍNGUA, SEM OUTRA ESPECIFICAÇÃO;1;
Q371 - FENDA DO PALATO DURO COM FENDA LABIAL UNILATERAL;1;
Q380 - MALFORMAÇÕES CONGÊNITAS DOS LÁBIOS, NÃO CLASSIFICADAS EM OUTRA PARTE;1;
S025 - FRATURA DE DENTES;5;
