e-SUS - Atenção Básica
MINISTÉRIO DA SAÚDE
ESTADO DE DISTRITO FEDERAL
MUNICÍPIO DE BRASÍLIA
UNIDADE DE SAÚDE UBS 4 SETOR DE MANSOES SOBRADINHO II

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/05/2020 a 30/05/2020
Equipe;0000471631 - ESF 0615/05 - MINI-CHACARAS
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/07/2020; às ;00:00;
Impresso em ;13/07/2020; às ;07:25; por ;KATIA SORAIA DO ESPIRITO SANTO


Resumo de produção
Descrição;Quantidade;
Registros identificados;46;
Registros não identificados;0;

Dados gerais
Descrição;Quantidade;
Gestante;4;
Paciente com necessidades especiais;1;

Turno
Descrição;Quantidade;
Manhã;26;
Tarde;20;
Noite;0;
Não informado;0;

Faixa etária
Descrição;Masculino;Feminino;Não informado;
Menos de 01 ano;0;0;0;
01 ano;0;0;0;
02 anos;1;0;0;
03 anos;0;0;0;
04 anos;0;0;0;
05 a 09 anos;4;1;0;
10 a 14 anos;0;3;0;
15 a 19 anos;2;1;0;
20 a 24 anos;0;2;0;
25 a 29 anos;0;6;0;
30 a 34 anos;0;4;0;
35 a 39 anos;1;1;0;
40 a 44 anos;1;1;0;
45 a 49 anos;2;1;0;
50 a 54 anos;3;6;0;
55 a 59 anos;1;3;0;
60 a 64 anos;0;1;0;
65 a 69 anos;1;0;0;
70 a 74 anos;0;0;0;
75 a 79 anos;0;0;0;
80 anos ou mais;0;0;0;
Não informado;0;0;0;

Sexo
Descrição;Quantidade;
Masculino;16;
Feminino;30;
Não informado;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;46;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Consulta agendada;2;
Escuta inicial / Orientação;0;
Consulta no dia;12;
