e-SUS - Atenção Básica
MINISTÉRIO DA SAÚDE
ESTADO DE DISTRITO FEDERAL
MUNICÍPIO DE BRASÍLIA
UNIDADE DE SAÚDE UBS 4 SETOR DE MANSOES SOBRADINHO II

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/04/2020 a 30/04/2020
Equipe;0000471631 - ESF 0615/05 - MINI-CHACARAS
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/07/2020; às ;00:00;
Impresso em ;13/07/2020; às ;07:24; por ;KATIA SORAIA DO ESPIRITO SANTO


Resumo de produção
Descrição;Quantidade;
Registros identificados;42;
Registros não identificados;0;

Dados gerais
Descrição;Quantidade;
Gestante;1;
Paciente com necessidades especiais;2;

Turno
Descrição;Quantidade;
Manhã;28;
Tarde;14;
Noite;0;
Não informado;0;

Faixa etária
Descrição;Masculino;Feminino;Não informado;
Menos de 01 ano;0;0;0;
01 ano;0;0;0;
02 anos;0;0;0;
03 anos;0;0;0;
04 anos;0;0;0;
05 a 09 anos;1;6;0;
10 a 14 anos;2;1;0;
15 a 19 anos;3;0;0;
20 a 24 anos;0;4;0;
25 a 29 anos;0;5;0;
30 a 34 anos;0;3;0;
35 a 39 anos;2;2;0;
40 a 44 anos;3;1;0;
45 a 49 anos;1;2;0;
50 a 54 anos;3;3;0;
55 a 59 anos;0;0;0;
60 a 64 anos;0;0;0;
65 a 69 anos;0;0;0;
70 a 74 anos;0;0;0;
75 a 79 anos;0;0;0;
80 anos ou mais;0;0;0;
Não informado;0;0;0;

Sexo
Descrição;Quantidade;
Masculino;15;
Feminino;27;
Não informado;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;42;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Consulta agendada;2;
Escuta inicial / Orientação;0;
Consulta no dia;4;
Atendimento de urgência;36;
Não informado;0;

Tipo de consulta
Descrição;Quantidade;
Primeira consulta odontológica programática;0;
Consulta de retorno em odontologia;2;
Consulta de manutenção em odontologia;0;
Não informado;40;

Vigilância em saúde bucal
Descrição;Quantidade;
Abscesso dentoalveolar;12;
Alteração em tecidos moles;2;
Dor de dente;13;
Fendas ou fissuras labiopalatais;0;
Fluorose dentária moderada ou severa;0;
Traumatismo dentoalveolar;2;
Não identificado;15;
Não informado;0;

Procedimentos
Descrição;Quantidade;
Acesso à polpa dentária e medicação (por dente);8;
Adaptação de prótese dentária;0;
Aplicação de cariostático (por dente);0;
Aplicação de selante (por dente);0;
Aplicação tópica de flúor (individual por sessão);0;
Capeamento pulpar;0;
Cimentação de prótese dentária;0;
Curativo de demora com ou sem preparo biomecânico;11;
Drenagem de abscesso;0;
Evidenciação de placa bacteriana;0;
Exodontia de dente decíduo;2;
Exodontia de dente permanente;1;
Instalação de prótese dentária;0;
Moldagem dentogengival para construção de prótese dentária;0;
Orientação de higiene bucal;0;
Profilaxia / Remoção da placa bacteriana;0;
Pulpotomia dentária;0;
Radiografia periapical / interproximal;0;
Raspagem alisamento e polimento supragengivais (por sextante);0;
Raspagem alisamento subgengivais (por sextante);0;
Restauração de dente decíduo;5;
Restauração de dente permanente anterior;0;
Restauração de dente permanente posterior;1;
Retirada de pontos de cirurgias básicas (por paciente);0;
Selamento provisório de cavidade dentária;12;
Tratamento de alveolite;0;
Ulotomia / Ulectomia;0;

Outros procedimentos (SIGTAP)
Descrição;Quantidade;
0301010030 - CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO);6;
0301060037 - ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA;36;
CDS - AFERIÇÃO DE TEMPERATURA;2;
CDS - MEDIÇÃO DE PESO;1;

Fornecimento
Descrição;Quantidade;
Escova dental;5;
Creme dental;5;
Fio dental;5;
Não informado;37;

Conduta / Desfecho
Descrição;Quantidade;
Retorno para consulta agendada;9;
Agendamento para outros profissionais AB;0;
Agendamento para NASF;0;
Agendamento para grupos;0;
Alta do episódio;36;
Tratamento concluído;0;

Encaminhamento
Descrição;Quantidade;
Atendimento a pacientes com necessidades especiais;0;
Cirurgia BMF;0;
Endodontia;3;
Estomatologia;0;
Implantodontia;0;
Odontopediatria;0;
Ortodontia / Ortopedia;0;
Periodontia;0;
Prótese dentária;0;
Radiologia;9;
Outros;0;
Não informado;30;

Problemas / Condições avaliadas - CIAP2
Descrição;Quantidade;
D19 - SINAIS/SINTOMAS DOS DENTES/GENGIVAS;10;
D82 - DOENÇA DOS DENTES/GENGIVAS;33;

Problemas / Condições avaliadas - CID10
Descrição;Quantidade;
K006 - DISTÚRBIOS DA ERUPÇÃO DENTÁRIA;2;
K02 - CÁRIE DENTÁRIA;8;
K040 - PULPITE;9;
K041 - NECROSE DA POLPA;1;
K046 - ABSCESSO PERIAPICAL COM FÍSTULA;2;
K047 - ABSCESSO PERIAPICAL SEM FÍSTULA;10;
K05 - GENGIVITE E DOENÇAS PERIODONTAIS;1;
K050 - GENGIVITE AGUDA;1;
K052 - PERIODONTITE AGUDA;1;
K056 - DOENÇA PERIODONTAL, SEM OUTRA ESPECIFICAÇÃO;1;
S025 - FRATURA DE DENTES;2;
