e-SUS - Atenção Básica
MINISTÉRIO DA SAÚDE
ESTADO DE DISTRITO FEDERAL
MUNICÍPIO DE BRASÍLIA
UNIDADE DE SAÚDE UBS 4 SETOR DE MANSOES SOBRADINHO II

Relatório de atendimento odontológico - Analítico

FILTROS
Período;01/03/2020 a 31/03/2020
Equipe;0000471631 - ESF 0615/05 - MINI-CHACARAS
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/07/2020; às ;00:00;
Impresso em ;13/07/2020; às ;07:23; por ;KATIA SORAIA DO ESPIRITO SANTO


Resumo de produção
Descrição;Quantidade;
Registros identificados;100;
Registros não identificados;0;

Dados gerais
Descrição;Quantidade;
Gestante;5;
Paciente com necessidades especiais;1;

Turno
Descrição;Quantidade;
Manhã;57;
Tarde;43;
Noite;0;
Não informado;0;

Faixa etária
Descrição;Masculino;Feminino;Não informado;
Menos de 01 ano;1;0;0;
01 ano;3;1;0;
02 anos;2;0;0;
03 anos;0;2;0;
04 anos;2;1;0;
05 a 09 anos;10;7;0;
10 a 14 anos;2;2;0;
15 a 19 anos;2;4;0;
20 a 24 anos;1;14;0;
25 a 29 anos;1;8;0;
30 a 34 anos;0;5;0;
35 a 39 anos;0;4;0;
40 a 44 anos;2;4;0;
45 a 49 anos;0;1;0;
50 a 54 anos;4;2;0;
55 a 59 anos;2;6;0;
60 a 64 anos;2;3;0;
65 a 69 anos;0;0;0;
70 a 74 anos;0;1;0;
75 a 79 anos;0;1;0;
80 anos ou mais;0;0;0;
Não informado;0;0;0;

Sexo
Descrição;Quantidade;
Masculino;34;
Feminino;66;
Não informado;0;

Local de atendimento
Descrição;Quantidade;
Domicílio;0;
Escola / Creche;0;
Instituição / Abrigo;0;
Polo (Academia da saúde);0;
Rua;0;
UBS;100;
Unidade móvel;0;
Unidade prisional ou congêneres;0;
Unidade socioeducativa;0;
Outros;0;
Não informado;0;

Tipo de atendimento
Descrição;Quantidade;
Consulta agendada;47;
Escuta inicial / Orientação;2;
Consulta no dia;25;
Atendimento de urgência;26;
Não informado;0;

Tipo de consulta
Descrição;Quantidade;
Primeira consulta odontológica programática;35;
Consulta de retorno em odontologia;26;
Consulta de manutenção em odontologia;2;
Não informado;37;

Vigilância em saúde bucal
Descrição;Quantidade;
Abscesso dentoalveolar;16;
Alteração em tecidos moles;2;
Dor de dente;2;
Fendas ou fissuras labiopalatais;0;
Fluorose dentária moderada ou severa;0;
Traumatismo dentoalveolar;0;
Não identificado;80;
Não informado;2;

Procedimentos
Descrição;Quantidade;
Acesso à polpa dentária e medicação (por dente);5;
Adaptação de prótese dentária;0;
Aplicação de cariostático (por dente);0;
Aplicação de selante (por dente);0;
Aplicação tópica de flúor (individual por sessão);0;
Capeamento pulpar;3;
Cimentação de prótese dentária;0;
Curativo de demora com ou sem preparo biomecânico;10;
Drenagem de abscesso;0;
Evidenciação de placa bacteriana;0;
Exodontia de dente decíduo;6;
Exodontia de dente permanente;5;
Instalação de prótese dentária;0;
Moldagem dentogengival para construção de prótese dentária;0;
Orientação de higiene bucal;1;
Profilaxia / Remoção da placa bacteriana;15;
Pulpotomia dentária;0;
Radiografia periapical / interproximal;0;
Raspagem alisamento e polimento supragengivais (por sextante);44;
Raspagem alisamento subgengivais (por sextante);0;
Restauração de dente decíduo;11;
Restauração de dente permanente anterior;4;
Restauração de dente permanente posterior;14;
Retirada de pontos de cirurgias básicas (por paciente);2;
Selamento provisório de cavidade dentária;10;
Tratamento de alveolite;0;
Ulotomia / Ulectomia;0;

Outros procedimentos (SIGTAP)
Descrição;Quantidade;
0301010030 - CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO);38;
0301010153 - PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA;35;
0301060037 - ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA;25;
0307040151 - AJUSTE OCLUSAL;5;
CDS - AFERIÇÃO DE TEMPERATURA;1;

Fornecimento
Descrição;Quantidade;
Escova dental;37;
Creme dental;36;
Fio dental;36;
Não informado;63;

Conduta / Desfecho
Descrição;Quantidade;
Retorno para consulta agendada;48;
Agendamento para outros profissionais AB;1;
Agendamento para NASF;0;
Agendamento para grupos;0;
Alta do episódio;27;
Tratamento concluído;25;

Encaminhamento
Descrição;Quantidade;
Atendimento a pacientes com necessidades especiais;0;
Cirurgia BMF;6;
Endodontia;1;
Estomatologia;0;
Implantodontia;0;
Odontopediatria;0;
Ortodontia / Ortopedia;0;
Periodontia;3;
Prótese dentária;0;
Radiologia;11;
Outros;0;
Não informado;83;

Problemas / Condições avaliadas - CIAP2
Descrição;Quantidade;
A97 - SEM DOENÇA;5;
D11 - DIARREIA;3;
D19 - SINAIS/SINTOMAS DOS DENTES/GENGIVAS;11;
D82 - DOENÇA DOS DENTES/GENGIVAS;76;
